Caliber,Burster_lbs,Explosive_Dmg,KE_MJ,Mark_Designation,Nation,Special_Features,Type,Velocity_fps,Weight_lbs
"18"" B-40* AP",0,0,45.0,B-40*,Soviet,Project shell*,AP,2400,3200
"18"" B-40* HE",70.0,1200,45.0,B-40*,Soviet,Project shell*,HE,2400,3200
"15"" B-40* AP",0,0,25.0,B-40*,Soviet,Project shell*,AP,2500,1938
"15"" B-40* HE",48.5,850,25.0,B-40*,Soviet,Project shell*,HE,2500,1938
"14.96"" L/50* AP",0,0,25.0,L/50*,German,Planned specification*,AP,2500,1938
"14.96"" L/50* HE",48.5,850,25.0,L/50*,German,Planned specification*,HE,2500,1938
"12"" Mk 16* AP",0,0,25.0,Mk 16*,US,Theoretical development*,AP,2500,1938
"12"" Mk 16* HE",48.5,850,25.0,Mk 16*,US,Theoretical development*,HE,2500,1938
"18"" L/50* AP",0,0,45.0,L/50*,German,Planned specification*,AP,2400,3200
"18"" L/50* HE",70.0,1200,45.0,L/50*,German,Planned specification*,HE,2400,3200
"13.39"" Mark VII* AP",0,0,25.0,Mark VII*,British,Projected design*,AP,2500,1938
"13.39"" Mark VII* HE",48.5,850,25.0,Mark VII*,British,Projected design*,HE,2500,1938
"12"" Mark I* AP",0,0,25.0,Mark I*,Spain,Fictional shell*,AP,2500,1938
"12"" Mark I* HE",48.5,850,25.0,Mark I*,Spain,Fictional shell*,HE,2500,1938
"20.1"" Type 3* AP",0,0,45.0,Type 3*,Japanese,Concept design*,AP,2400,3200
"20.1"" Type 3* HE",70.0,1200,45.0,Type 3*,Japanese,Concept design*,HE,2400,3200
"13"" Mle 1930* AP",0,0,25.0,Mle 1930*,French,Design study*,AP,2500,1938
"13"" Mle 1930* HE",48.5,850,25.0,Mle 1930*,French,Design study*,HE,2500,1938
"16"" L/50* AP",0,0,25.0,L/50*,German,Planned specification*,AP,2500,1938
"16"" L/50* HE",48.5,850,25.0,L/50*,German,Planned specification*,HE,2500,1938
"12"" B-40* AP",0,0,25.0,B-40*,Soviet,Project shell*,AP,2500,1938
"12"" B-40* HE",48.5,850,25.0,B-40*,Soviet,Project shell*,HE,2500,1938
"18"" Type 3* AP",0,0,45.0,Type 3*,Japanese,Concept design*,AP,2400,3200
"18"" Type 3* HE",70.0,1200,45.0,Type 3*,Japanese,Concept design*,HE,2400,3200
"15"" Model 42* AP",0,0,25.0,Model 42*,Netherlands,Study project*,AP,2500,1938
"15"" Model 42* HE",48.5,850,25.0,Model 42*,Netherlands,Study project*,HE,2500,1938
"3.54"" Mark VII* AP",0,0,0.9,Mark VII*,British,Projected design*,AP,2650,55
"3.54"" Mark VII* HE",4.4,11,0.9,Mark VII*,British,Projected design*,HE,2650,55
"3.94"" Mark VII* AP",0,0,0.9,Mark VII*,British,Projected design*,AP,2650,55
"3.94"" Mark VII* HE",4.4,11,0.9,Mark VII*,British,Projected design*,HE,2650,55
"18"" Mk 16* AP",0,0,45.0,Mk 16*,US,Theoretical development*,AP,2400,3200
"18"" Mk 16* HE",70.0,1200,45.0,Mk 16*,US,Theoretical development*,HE,2400,3200
"5.98"" Mark VII* AP",0,0,5.2,Mark VII*,British,Projected design*,AP,2800,275
"5.98"" Mark VII* HE",13.1,125,5.2,Mark VII*,British,Projected design*,HE,2800,275
"14"" Type 3* AP",0,0,25.0,Type 3*,Japanese,Concept design*,AP,2500,1938
"14"" Type 3* HE",48.5,850,25.0,Type 3*,Japanese,Concept design*,HE,2500,1938
"20"" L/50* AP",0,0,45.0,L/50*,German,Planned specification*,AP,2400,3200
"20"" L/50* HE",70.0,1200,45.0,L/50*,German,Planned specification*,HE,2400,3200
"14"" M1916* AP",0,0,25.0,M1916*,Austria-Hungary,Pre-war design*,AP,2500,1938
"14"" M1916* HE",48.5,850,25.0,M1916*,Austria-Hungary,Pre-war design*,HE,2500,1938
"4.1"" Mark VII* AP",0,0,0.9,Mark VII*,British,Projected design*,AP,2650,55
"4.1"" Mark VII* HE",4.4,11,0.9,Mark VII*,British,Projected design*,HE,2650,55
"14"" M1940* AP",0,0,25.0,M1940*,Brazil,Export variant*,AP,2500,1938
"14"" M1940* HE",48.5,850,25.0,M1940*,Brazil,Export variant*,HE,2500,1938
"12.6"" M1934* HE",48.5,850,25.0,M1934*,Italian,Proposed model*,HE,2500,1938
"13.4"" Mle 1930* HE",48.5,850,25.0,Mle 1930*,French,Design study*,HE,2500,1938
"14"" B-40* HE",48.5,850,25.0,B-40*,Soviet,Project shell*,HE,2500,1938
"14"" Mk 16* HE",48.5,850,25.0,Mk 16*,US,Theoretical development*,HE,2500,1938
"15"" L/50* HE",48.5,850,25.0,L/50*,German,Planned specification*,HE,2500,1938
"15"" M1934* HE",48.5,850,25.0,M1934*,Italian,Proposed model*,HE,2500,1938
"16"" B-40* HE",48.5,850,25.0,B-40*,Soviet,Project shell*,HE,2500,1938
"16"" Mk 16* HE",48.5,850,25.0,Mk 16*,US,Theoretical development*,HE,2500,1938
"16.1"" Type 3* HE",48.5,850,25.0,Type 3*,Japanese,Concept design*,HE,2500,1938
"16.5"" L/50* HE",48.5,850,25.0,L/50*,German,Planned specification*,HE,2500,1938
"18.1"" Type 3* HE",70.0,1200,45.0,Type 3*,Japanese,Concept design*,HE,2400,3200
"3"" Type 3* AP",0,0,0.9,Type 3*,Japanese,Concept design*,AP,2650,55
"3.7"" L/50* AP",0,0,0.9,L/50*,German,Planned specification*,AP,2650,55
"3.9"" Mle 1930* AP",0,0,0.9,Mle 1930*,French,Design study*,AP,2650,55
"5"" Type 3* AP",0,0,0.9,Type 3*,Japanese,Concept design*,AP,2650,55
"5"" Mk 16* AP",0,0,0.9,Mk 16*,US,Theoretical development*,AP,2650,55
"5.1"" Mle 1930* AP",0,0,0.9,Mle 1930*,French,Design study*,AP,2650,55
"5.1"" B-40* AP",0,0,0.9,B-40*,Soviet,Project shell*,AP,2650,55
"5.46"" Mle 1930* AP",0,0,0.9,Mle 1930*,French,Design study*,AP,2650,55
"6"" M1934* AP",0,0,5.2,M1934*,Italian,Proposed model*,AP,2800,275
"6"" B-40* AP",0,0,5.2,B-40*,Soviet,Project shell*,AP,2800,275
"6"" Mk 16* AP",0,0,5.2,Mk 16*,US,Theoretical development*,AP,2800,275
"8"" Mle 1930* HE",13.1,125,5.2,Mle 1930*,French,Design study*,HE,2800,275
"8"" Mk 16* HE",13.1,125,5.2,Mk 16*,US,Theoretical development*,HE,2800,275
