Gun_Variant,Accuracy,Barrel_Life_rounds,Caliber_Length,Compatible_Shells,Muzzle_Velocity_fps,Nation,Performance_Category,Period,Upgrade_Features,Upgrade_Type
"13.4""/52 Model 1912 Enhanced",Enhanced,320,"13.4""/52",,2675,🇫🇷 French,Balanced,1919-1920,"Improved propellant, better metallurgy",Enhanced Metallurgy
"13.4""/52 Model 1916",Standard,290,"13.4""/52",,2657,🇫🇷 French,Balanced,1917-1921,Lyon cancelled design,Standard
"13.4""/52 Model 1916 Quad",Enhanced,340,"13.4""/52",,2640,🇫🇷 French,Balanced,1918-1921,"Quad mount optimization, balanced charges",Enhanced Metallurgy
"13.4""/52 Model 1912 Moderne",Superior,380,"13.4""/52",,2640,🇫🇷 French,Long Life,Projected 1925,"Extended range, improved accuracy",Enhanced Metallurgy
"14.96""/50 Model 1936",Standard,280,"14.96""/50",,2723,🇫🇷 French,High Velocity,1940-1942,Richelieu original quad mount,Standard
"13.4""/52 Model 1912",Standard,280,"13.4""/52",,2657,🇫🇷 French,Balanced,1914-1920,Normandie original specification,Standard
"14.96""/50 Model 1936 Improved",Enhanced,350,"14.96""/50",,2690,🇫🇷 French,High Velocity,1943-1950,"Improved accuracy, extended barrel life",Enhanced Metallurgy
"13.4""/52 Model 1916 Super",Superior,310,"13.4""/52",,2695,🇫🇷 French,High Velocity,Planned 1920,Maximum performance variant,Enhanced Metallurgy
"13""/50 Model 1931",Enhanced,300,"13""/50",,2690,🇫🇷 French,Balanced,1937-1945,Dunkerque quad mount innovation,Standard
"15""/47 SK C/34 Mod",Enhanced,400,"15""/47",,2700,🇩🇪 German,Long Life,1941,"Improved steel, better metallurgy",Enhanced Metallurgy
"16""/52 SK C/34 Adolf",Long-range,250,"16""/52",,3281,🇩🇪 German,High Velocity,Planned 1941,Light shell extended range capability,Enhanced Metallurgy
"15""/47 SK C/34 (1940)",Standard,300,"15""/47",,2690,🇩🇪 German,High Velocity,1940-1941,Bismarck original specification,Standard
"15""/47 SK C/34 Triple",Standard,280,"15""/47",,2690,🇩🇪 German,High Velocity,Planned 1940,Triple mount adaptation,Standard
"15""/47 SK C/34 Triple Super",Superior,320,"15""/47",,2730,🇩🇪 German,High Velocity,Planned 1942,Maximum performance triple,Enhanced Metallurgy
"16""/52 SK C/34 (planned)",Superior,350,"16""/52",,2657,🇩🇪 German,High Velocity,Planned 1939-1941,H-class battleship design,Standard
"14.96""/45 SK L/45 Improved",Enhanced,180,"14.96""/45",,2920,🇩🇪 German,High Velocity,1918,"Enhanced propellant, higher velocity",Enhanced Metallurgy
