| Node_ID | Nation | Designation | Year | Type | Wingspan_ft | Length_ft | Max_Weight_lbs | Empty_Weight_lbs | Max_Speed_kts | Cruise_Speed_kts | Service_Ceiling_ft | Engine_Type | Num_Engines | Crew | Combat_Radius_nm | Role | Is_Modded | Modded |
|---------|--------|-------------|------|------|-------------|-----------|----------------|------------------|---------------|------------------|-------------------|-------------|-------------|------|------------------|------|-----------|--------|
| 4000 | USA | P-38 Lightning | 1941 | Fighter | 52.0 | 59.8 | 8500 | 5100 | 310 | 217 | 35200 | Piston | 2 | 1 | 208 | Air superiority | 1 | 1 |
| 4001 | USA | P-38J Lightning | 1943 | Fighter | 52.0 | 59.8 | 9500 | 5700 | 330 | 230 | 35600 | Piston | 2 | 1 | 224 | Air superiority | 1 | 0 |
| 4002 | USA | P-47 Thunderbolt | 1942 | Fighter | 40.9 | 47.0 | 9000 | 5400 | 320 | 224 | 35400 | Piston | 1 | 1 | 216 | Air superiority | 1 | 0 |
| 4003 | USA | P-47D Thunderbolt | 1944 | Fighter | 40.9 | 47.0 | 10000 | 6000 | 340 | 237 | 35800 | Piston | 1 | 1 | 232 | Air superiority | 1 | 0 |
| 4004 | USA | P-51 Mustang | 1943 | Fighter | 37.0 | 42.5 | 9500 | 5700 | 437 | 305 | 35600 | Piston | 1 | 1 | 224 | Air superiority | 1 | 0 |
| 4010 | USA | P-80 Shooting Star | 1945 | Jet Fighter | 38.9 | 44.7 | 15000 | 9000 | 550 | 385 | 45000 | Turbojet | 1 | 1 | 240 | Air superiority | 1 | 0 |
| 4011 | USA | F-84 Thunderjet | 1947 | Jet Fighter | 36.5 | 42.0 | 15800 | 9480 | 590 | 413 | 45300 | Turbojet | 1 | 1 | 256 | Air superiority | 1 | 0 |
| 4012 | USA | F-86 Sabre | 1949 | Jet Fighter | 37.1 | 42.7 | 20357 | 12214 | 687 | 480 | 45600 | Turbojet | 1 | 1 | 272 | Air superiority | 1 | 0 |
| 4013 | USA | F-100 Super Sabre | 1954 | Jet Fighter | 37.1 | 42.7 | 34832 | 20899 | 864 | 604 | 46350 | Turbojet | 1 | 1 | 312 | Air superiority | 1 | 0 |
| 4014 | USA | F-104 Starfighter | 1958 | Interceptor | 21.9 | 24.1 | 38800 | 23280 | 1450 | 1014 | 49600 | Turbofan | 1 | 1 | 370 | Air defense, interception | 1 | 0 |
| 4015 | USA | F-105 Thunderchief | 1958 | Strike | 37.4 | 41.1 | 38800 | 23280 | 980 | 686 | 40000 | Turbofan | 1 | 1 | 400 | Ground attack, strike missions | 1 | 0 |
| 4016 | USA | F-111 Aardvark | 1967 | Strike | 37.9 | 41.6 | 44200 | 26520 | 1070 | 749 | 40000 | Turbofan | 1 | 1 | 400 | Ground attack, strike missions | 1 | 0 |
| 4020 | USA | F-4C Phantom II | 1963 | Multi-Role | 37.6 | 41.4 | 61800 | 37080 | 1030 | 721 | 50600 | Turbofan | 1 | 1 | 445 | Air-to-air and air-to-ground | 1 | 0 |
| 4021 | USA | F-4E Phantom II | 1967 | Multi-Role | 37.9 | 41.6 | 61800 | 37080 | 1070 | 749 | 51400 | Turbofan | 1 | 1 | 505 | Air-to-air and air-to-ground | 1 | 0 |
| 4022 | USA | F-5 Freedom Fighter | 1963 | Export Fighter | 41.9 | 48.2 | 19500 | 11700 | 530 | 371 | 39600 | Piston | 1 | 1 | 384 | Multi-purpose operations | 1 | 0 |
| 4023 | USA | F-5E Tiger II | 1972 | Export Fighter | 44.6 | 51.3 | 24000 | 14400 | 620 | 434 | 41400 | Piston | 1 | 1 | 456 | Multi-purpose operations | 1 | 0 |
| 4030 | USA | F-15A Eagle | 1976 | Air Superiority | 40.0 | 44.0 | 25000 | 15000 | 400 | 280 | 40000 | Piston | 2 | 1 | 400 | Multi-purpose operations | 1 | 0 |
| 4031 | USA | F-15C Eagle | 1979 | Air Superiority | 40.0 | 44.0 | 25000 | 15000 | 400 | 280 | 40000 | Piston | 2 | 1 | 400 | Multi-purpose operations | 1 | 0 |
| 4032 | USA | F-15E Strike Eagle | 1988 | Multi-Role | 42.8 | 47.1 | 81000 | 48600 | 1280 | 896 | 55600 | Turbofan | 2 | 2 | 1100 | Air-to-air and air-to-ground | 1 | 0 |
| 4033 | USA | F-15EX Eagle II | 2021 | Multi-Role | 42.8 | 47.1 | 81000 | 48600 | 1610 | 1127 | 62200 | Turbofan | 2 | 2 | 1100 | Air-to-air and air-to-ground | 1 | 0 |
| 4040 | USA | F-16A Fighting Falcon | 1978 | Multi-Role | 32.8 | 36.1 | 42300 | 25380 | 1320 | 923 | 53600 | Turbofan | 1 | 1 | 340 | Air-to-air and air-to-ground | 1 | 0 |
| 4041 | USA | F-16C Block 30 | 1984 | Multi-Role | 32.8 | 36.1 | 42300 | 25380 | 1320 | 923 | 54800 | Turbofan | 1 | 1 | 340 | Air-to-air and air-to-ground | 1 | 0 |
| 4042 | USA | F-16C Block 52 | 1991 | Multi-Role | 32.8 | 36.1 | 42300 | 25380 | 1320 | 923 | 56200 | Turbofan | 1 | 1 | 340 | Air-to-air and air-to-ground | 1 | 0 |
| 4043 | USA | F-16V Viper | 2015 | Multi-Role | 32.8 | 36.1 | 42300 | 25380 | 1320 | 923 | 61000 | Turbofan | 1 | 1 | 340 | Air-to-air and air-to-ground | 1 | 0 |
| 4050 | USA | F-22A Raptor | 2005 | Stealth Fighter | 44.5 | 64.5 | 83500 | 50100 | 1500 | 1050 | 59000 | Turbofan | 2 | 1 | 590 | Air superiority, strike missions | 1 | 0 |
| 4051 | USA | F-35A Lightning II | 2016 | Stealth Multi-Role | 35.0 | 50.8 | 73600 | 44160 | 1200 | 840 | 61200 | Turbofan | 2 | 1 | 1240 | Air-to-air and air-to-ground | 1 | 0 |
| 4060 | USA | B-17 Flying Fortress | 1941 | Heavy Bomber | 103.9 | 67.5 | 65500 | 39300 | 900 | 630 | 40250 | Piston | 4 | 10 | 830 | Tactical bombing | 1 | 1 |
| 4061 | USA | B-17G Flying Fortress | 1943 | Heavy Bomber | 103.9 | 67.5 | 65500 | 39300 | 900 | 630 | 40750 | Piston | 4 | 10 | 890 | Tactical bombing | 1 | 0 |
| 4062 | USA | B-24 Liberator | 1941 | Heavy Bomber | 110.0 | 71.5 | 52000 | 31200 | 550 | 385 | 40250 | Piston | 1 | 2 | 830 | Tactical bombing | 1 | 0 |
| 4063 | USA | B-29 Superfortress | 1944 | Heavy Bomber | 141.3 | 91.8 | 141100 | 84660 | 550 | 385 | 41000 | Piston | 8 | 11 | 1600 | Tactical bombing | 1 | 0 |
| 4070 | USA | B-36 Peacemaker | 1949 | Strategic Bomber | 110.8 | 72.0 | 197000 | 118200 | 322 | 225 | 42250 | Turbojet | 1 | 3 | 1920 | Strategic bombing, long-range strike | 1 | 0 |
| 4071 | USA | B-47 Stratojet | 1951 | Strategic Bomber | 116.0 | 75.4 | 203000 | 121800 | 580 | 406 | 42750 | Turbojet | 4 | 3 | 2080 | Strategic bombing, long-range strike | 1 | 0 |
| 4072 | USA | B-52 Stratofortress | 1955 | Strategic Bomber | 185.0 | 120.2 | 488000 | 292800 | 560 | 392 | 43750 | Turbojet | 8 | 5 | 4480 | Strategic bombing, long-range strike | 1 | 0 |
| 4073 | USA | B-52H Stratofortress | 1961 | Strategic Bomber | 185.0 | 120.2 | 488000 | 292800 | 560 | 392 | 45250 | Turbojet | 8 | 5 | 4480 | Strategic bombing, long-range strike | 1 | 0 |
| 4074 | USA | B-58 Hustler | 1960 | Supersonic Bomber | 56.8 | 36.9 | 90000 | 54000 | 410 | 287 | 45000 | Turbojet | 1 | 3 | 1400 | Tactical bombing | 1 | 0 |
| 4075 | USA | FB-111A | 1969 | Strategic Bomber | 137.0 | 89.0 | 477000 | 286200 | 900 | 630 | 47250 | Turbojet | 4 | 4 | 3100 | Strategic bombing, long-range strike | 1 | 0 |
| 4080 | USA | B-1B Lancer | 1986 | Strategic Bomber | 137.0 | 89.0 | 477000 | 286200 | 900 | 630 | 50000 | Turbofan | 4 | 4 | 3100 | Strategic bombing, long-range strike | 1 | 0 |
| 4081 | USA | B-2A Spirit | 1997 | Stealth Bomber | 42.0 | 60.9 | 164000 | 98400 | 550 | 385 | 57400 | Turbofan | 4 | 1 | 2510 | Tactical bombing | 1 | 0 |
| 4082 | USA | B-21 Raider | 2025 | Stealth Bomber | 42.0 | 60.9 | 220000 | 132000 | 550 | 385 | 63000 | Turbofan | 4 | 1 | 3350 | Tactical bombing | 1 | 0 |
| 4090 | USA | A-10A Thunderbolt II | 1977 | Close Air Support | 40.0 | 44.0 | 25000 | 15000 | 400 | 280 | 40000 | Piston | 1 | 1 | 400 | Multi-purpose operations | 1 | 1 |
| 4091 | USA | A-10C Thunderbolt II | 2007 | Close Air Support | 40.0 | 44.0 | 25000 | 15000 | 400 | 280 | 40000 | Piston | 1 | 1 | 400 | Multi-purpose operations | 1 | 0 |
| 4092 | USA | AC-130H Spectre | 1972 | Gunship | 40.0 | 44.0 | 25000 | 15000 | 400 | 280 | 40000 | Piston | 1 | 1 | 400 | Multi-purpose operations | 1 | 0 |
