| 1000 | USA | Whitehead Torpedo (1890) | Steam | Torpedoes | 1 | Torpedo | 1890 | 1 | 0 | 0 | 0 | 0 | STARTING | FREE! Licensed from Whitehead, first US torpedo | Steam Torpedo |  | STARTING |
| 1001 | USA | Howell Torpedo | Flywheel | Torpedoes | 2 | Torpedo | 1889 | 0 | 50000 | 1 | 100000 | 1 | EXPERIMENTAL | Unique flywheel propulsion, wakeless, counter-rotating flywheel | Flywheel Torpedo |  | EXPERIMENTAL |
| 1002 | USA | Whitehead Mark 1 | Steam | Torpedoes | 2 | Torpedo | 1892 | 0 | 75000 | 2 | 150000 | 2 | Early Steam | Improved Whitehead design, 18" diameter, limited range | Steam Torpedo |  | Early Steam |
| 1003 | USA | Bliss-Leavitt Mark 1 | Steam | Torpedoes | 3 | Torpedo | 1904 | 0 | 120000 | 2 | 240000 | 2 | Pre-WWI | First successful US-manufactured torpedo, 18" diameter | Steam Torpedo |  | Pre-WWI |
| 1004 | USA | Bliss-Leavitt Mark 3 | Steam | Torpedoes | 3 | Torpedo | 1908 | 0 | 150000 | 2 | 300000 | 2 | Pre-WWI | Improved reliability, 21" diameter introduced | Steam Torpedo |  | Pre-WWI |
| 1005 | USA | Mark 7 | Steam | Torpedoes | 4 | Torpedo | 1912 | 0 | 200000 | 3 | 400000 | 3 | WWI Era | Standard destroyer torpedo, 21" × 21 ft, 400 lbs TNT | Steam Torpedo |  | WWI Era |
| 1006 | USA | Mark 8 | Steam | Torpedoes | 4 | Torpedo | 1915 | 0 | 250000 | 3 | 500000 | 3 | WWI Submarine | First dedicated submarine torpedo, 21" × 16 ft | Steam Torpedo |  | WWI Submarine |
| 1007 | USA | Mark 9 | Steam | Torpedoes | 5 | Torpedo | 1916 | 0 | 300000 | 4 | 600000 | 4 | WWI Heavy | Battleship/cruiser torpedo, 21" × 24 ft, longer range | Steam Torpedo |  | WWI Heavy |
| 1008 | USA | Mark 10 | Steam | Torpedoes | 5 | Torpedo | 1920 | 0 | 350000 | 4 | 700000 | 4 | Post-WWI | Improved Mark 8, better gyroscope, 21" × 16 ft | Steam Torpedo |  | Post-WWI |
| 1009 | USA | Mark 11 | Steam | Torpedoes | 5 | Torpedo | 1922 | 0 | 400000 | 5 | 800000 | 5 | Treaty Era | Surface ship torpedo, wet-heater engine, 3,500 yd range | Steam Torpedo |  | Treaty Era |
| 1010 | USA | Mark 12 | Steam | Torpedoes | 6 | Torpedo | 1927 | 0 | 450000 | 5 | 900000 | 5 | Interwar | Destroyer torpedo, improved speed 36 kts | Steam Torpedo |  | Interwar |
| 1011 | USA | Mark 13 (Early) | Steam | Torpedoes | 6 | Torpedo | 1938 | 0 | 500000 | 4 | 1000000 | 4 | AIR-LAUNCHED | First successful US aerial torpedo, 22.4" × 13.5 ft | Steam Torpedo |  | AIR-LAUNCHED |
